,City,Level,PM2.5,PM10,O3,NO2,SO2,CO
0,"Sreepur, Dhaka",Very Unhealthy,229,NULL,NULL,NULL,NULL,NULL
1,"Manikganj, Dhaka",Very Unhealthy,182.1,NULL,NULL,NULL,NULL,NULL
2,"Dhaka, Dhaka",Very Unhealthy,180.6,NULL,NULL,NULL,NULL,NULL
3,"Savar, Dhaka",Unhealthy,111.8,NULL,NULL,NULL,NULL,NULL
4,"Narayanganj, Dhaka",Moderate,13,NULL,NULL,NULL,NULL,NULL
5,"Faisalabad, Punjab",Hazardous,462,NULL,NULL,NULL,NULL,NULL
6,"Lahore, Punjab",Very Unhealthy,207,NULL,NULL,NULL,NULL,NULL
7,"Rawalpindi, Punjab",Very Unhealthy,172.8,NULL,NULL,NULL,NULL,NULL
8,"Karachi, Sindh",Unhealthy,133.9,NULL,NULL,NULL,NULL,NULL
9,"Raiwind, Punjab",Unhealthy,113.1,NULL,NULL,NULL,NULL,NULL
10,"Islamabad, Islamabad",Unhealthy,86.9,NULL,NULL,NULL,NULL,NULL
11,"Muridke, Punjab",Unhealthy,90.4,NULL,NULL,NULL,NULL,NULL
12,"Multan, Punjab",Unhealthy For Sensitive Groups,48.7,NULL,NULL,NULL,NULL,NULL
13,"Abbottabad, Khyber Pakhtunkhwa",Moderate,13.2,NULL,NULL,NULL,NULL,NULL
14,"Ulaanbaatar, Ulaanbaatar",Unhealthy,137,87,4,26.5,134,14.5
15,"Tsetserleg, Arhangay",Good,10,NULL,NULL,NULL,NULL,NULL
16,"Urt, OEmnoegovi",Moderate,27,39,NULL,6,5,NULL
17,"Hongor, Suhbaatar",Moderate,20,24,NULL,8,13,NULL
18,"Ulaan-Uul, East Gobi Aymag",Moderate,18,22,NULL,11,36,NULL
19,"Sumber, East Aimak",Good,6.5,7,NULL,7,5,NULL
20,"Chonogol, Suhbaatar",Good,4,6,NULL,8,10,NULL
21,"Ulan Bator, Ulaanbaatar",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,"Kabul, Kabul",Unhealthy,117.7,NULL,NULL,NULL,NULL,NULL
23,"New Delhi, Delhi",Very Unhealthy,190.3,477.9,8,38.9,7.2,3820
24,"Dadri, Uttar Pradesh",Hazardous,350,550,2,172,8,NULL
25,"Shahdara, Delhi",Hazardous,266.1,548.8,36.2,139,NULL,4614.4
26,"Meerut, Uttar Pradesh",Very Unhealthy,186,368.6,16,NULL,1.6,NULL
27,"Sector, Uttar Pradesh",Hazardous,350,538,22,84,7.6,4650
28,"Gurugram, Haryana",Very Unhealthy,166.9,327,2,25.2,4.8,1120
29,"Bulandshahr, Uttar Pradesh",Hazardous,350,482.7,9,NULL,17.6,NULL
30,"Noida, Uttar Pradesh",Hazardous,285,433.4,13.5,13.6,8,2820
31,"Greater Noida, Uttar Pradesh",Hazardous,350,500.7,5,NULL,11.2,NULL
32,"Delhi, Delhi",Hazardous,291,402.8,7.2,49.7,21.8,2690
33,"Defence Colony, Delhi",Hazardous,237.3,498.3,29.9,50.9,17.6,3220
34,"Karol Bagh, Delhi",Hazardous,301.5,491.1,8.8,69.1,18.9,3800
35,"Dasna, Uttar Pradesh",Hazardous,314,475.5,4,NULL,10.4,NULL
36,"Loni, Uttar Pradesh",Hazardous,303,439.4,8,28,6.4,NULL
37,"Surabaya, East Java",Unhealthy For Sensitive Groups,48.4,NULL,NULL,NULL,NULL,NULL
38,"Pontianak, West Kalimantan",Unhealthy For Sensitive Groups,38.2,NULL,NULL,NULL,NULL,NULL
39,"Bangkinang, Riau",Moderate,29.8,NULL,NULL,NULL,NULL,NULL
40,"Balaipungut, Riau",Moderate,27.7,NULL,NULL,NULL,NULL,NULL
41,"Dumai, Riau",Moderate,26,NULL,NULL,NULL,NULL,NULL
42,"Semarang, Central Java",Moderate,25.9,NULL,NULL,NULL,NULL,NULL
43,"Jambi, Jambi",Moderate,25.1,NULL,NULL,NULL,NULL,NULL
44,"Sedinginan, Riau",Moderate,22.3,NULL,NULL,NULL,NULL,NULL
45,"Duri, Riau",Moderate,20.4,NULL,NULL,NULL,NULL,NULL
46,"Jakarta, Jakarta",Moderate,19.6,NULL,NULL,NULL,NULL,NULL
47,"Manama, Capital Governorate",Unhealthy,61,NULL,NULL,NULL,NULL,NULL
48,"Siddharthanagar, Western Region",Unhealthy,135.7,NULL,NULL,NULL,NULL,NULL
49,"Nepalgunj, Mid Western",Unhealthy,137.3,73.3,NULL,NULL,NULL,NULL
50,"Tulsipur, Mid Western",Unhealthy,109.5,NULL,NULL,NULL,NULL,NULL
51,"Kirtipur, Central Region",Unhealthy,116,72.1,NULL,NULL,NULL,NULL
52,"Kathmandu, Central Region",Unhealthy,136,107.6,4,NULL,NULL,NULL
