,City,Level,PM2.5,PM10,O3,NO2,SO2,CO
0,"Sreepur, Dhaka",Hazardous,256.9,NULL,NULL,NULL,NULL,NULL
1,"Manikganj, Dhaka",Very Unhealthy,200.7,NULL,NULL,NULL,NULL,NULL
2,"Dhaka, Dhaka",Very Unhealthy,177.5,NULL,NULL,NULL,NULL,NULL
3,"Savar, Dhaka",Unhealthy,120.5,NULL,NULL,NULL,NULL,NULL
4,"Narayanganj, Dhaka",Good,7,NULL,NULL,NULL,NULL,NULL
5,"Rawalpindi, Punjab",Very Unhealthy,168.4,NULL,NULL,NULL,NULL,NULL
6,"Lahore, Punjab",Unhealthy,126,NULL,NULL,NULL,NULL,NULL
7,"Muridke, Punjab",Unhealthy,107.3,NULL,NULL,NULL,NULL,NULL
8,"Islamabad, Islamabad",Unhealthy,100,NULL,NULL,NULL,NULL,NULL
9,"Karachi, Sindh",Unhealthy,100,NULL,NULL,NULL,NULL,NULL
10,"Raiwind, Punjab",Unhealthy,91.4,NULL,NULL,NULL,NULL,NULL
11,"Ulaanbaatar, Ulaanbaatar",Unhealthy,76.3,158,3,24,215,18
12,"Hongor, Suhbaatar",Moderate,32,59,NULL,9,14,NULL
13,"Tsetserleg, Arhangay",Moderate,31,NULL,NULL,NULL,NULL,NULL
14,"Ulaan-Uul, East Gobi Aymag",Moderate,32,138,NULL,36,19,NULL
15,"Urt, OEmnoegovi",Unhealthy For Sensitive Groups,32,214,NULL,7,5,NULL
16,"Sumber, East Aimak",Good,8,15.5,NULL,5,6,NULL
17,"Chonogol, Suhbaatar",Good,4,14,NULL,17,38,NULL
18,"Ulan Bator, Ulaanbaatar",NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,"Kabul, Kabul",Unhealthy For Sensitive Groups,51.5,NULL,NULL,NULL,NULL,NULL
20,"Bahadurgarh, Haryana",Very Unhealthy,213.5,238,1,0.8,9.6,NULL
21,"Delhi, Delhi",Hazardous,277,352.5,9.3,35.7,33.8,2550
22,"Sector, Uttar Pradesh",Hazardous,283,409.3,36,29.6,1.6,2420
23,"Dadri, Uttar Pradesh",Hazardous,254,447.8,1,125,1.6,NULL
24,"Dharuhera, Haryana",Hazardous,209.6,445.4,3,86,2.4,2260
25,"Guwahati, Assam",Very Unhealthy,200.5,NULL,NULL,NULL,NULL,NULL
26,"Shahdara, Delhi",Hazardous,268.7,338,30.3,169.6,NULL,2301.5
27,"Muzaffarpur, Bihar",Hazardous,266,NULL,12,2.4,7.2,NULL
28,"Patna, Bihar",Very Unhealthy,242.2,NULL,57.1,101,20.8,2580
29,"Bulandshahr, Uttar Pradesh",Hazardous,257,371,6,NULL,16.8,NULL
30,"Bandung, West Java",Unhealthy,75.9,NULL,NULL,NULL,NULL,NULL
31,"Jakarta, Jakarta",Unhealthy For Sensitive Groups,38.6,NULL,NULL,NULL,NULL,NULL
32,"Pekanbaru, Riau",Moderate,30.3,NULL,NULL,NULL,NULL,NULL
33,"Duri, Riau",Moderate,28.6,NULL,NULL,NULL,NULL,NULL
34,"Sedinginan, Riau",Moderate,25.4,NULL,NULL,NULL,NULL,NULL
35,"Semarang, Central Java",Moderate,23.8,NULL,NULL,NULL,NULL,NULL
36,"Balaipungut, Riau",Moderate,21.5,NULL,NULL,NULL,NULL,NULL
37,"Dumai, Riau",Moderate,21.5,NULL,NULL,NULL,NULL,NULL
38,"Medan, North Sumatra",Moderate,20.3,NULL,NULL,NULL,NULL,NULL
39,"Semarapura, Bali",Moderate,17.2,NULL,NULL,NULL,NULL,NULL
40,"Manama, Capital Governorate",Unhealthy,81,NULL,NULL,NULL,NULL,NULL
41,"Siddharthanagar, Western Region",Unhealthy,116.3,NULL,NULL,NULL,NULL,NULL
42,"Nepalgunj, Mid Western",Unhealthy,104.5,69.5,NULL,NULL,NULL,NULL
43,"Bhaktapur, Central Region",Unhealthy,102.4,NULL,NULL,NULL,NULL,NULL
44,"Kathmandu, Central Region",Unhealthy,97.4,125.4,21,NULL,NULL,NULL
45,"Kirtipur, Central Region",Unhealthy,94.4,59.1,NULL,NULL,NULL,NULL
46,"Tulsipur, Mid Western",Unhealthy,64.2,NULL,NULL,NULL,NULL,NULL
47,"Patan, Central Region",Unhealthy,62.2,63.7,NULL,NULL,NULL,NULL
48,"Dhulikhel, Central Region",Unhealthy,56.7,57.2,NULL,NULL,NULL,NULL
49,"Pokhara, Western Region",Unhealthy For Sensitive Groups,53.7,NULL,NULL,NULL,NULL,NULL
50,"Dhankuta, Eastern Region",Moderate,34.7,34.7,NULL,NULL,NULL,NULL
51,"Tashkent, Toshkent Shahri",Good,53,NULL,4,NULL,NULL,NULL
52,"Baghdad, Baghdad",Moderate,25,NULL,NULL,NULL,NULL,NULL
53,"Nassau, New Providence",Good,6.6,NULL,NULL,NULL,NULL,NULL
54,"Governor's Harbour, Central Eleuthera",Good,3,NULL,NULL,NULL,NULL,NULL
55,"Charlotte Amalie, Saint Thomas Island",Good,2.8,NULL,NULL,NULL,NULL,NULL
56,"Cruz Bay, Saint John Island",Good,0.6,NULL,NULL,NULL,NULL,NULL
57,"Hafnarfjoerdur, Capital Region",Good,8.1,15,NULL,3.6,3.6,NULL
58,"Reykjavik, Capital Region",Good,7,11,NULL,3.3,6.9,NULL
59,"Kopavogur, Capital Region",Good,6,9.9,NULL,0,0,NULL
60,"Grundartangi, West",Good,3.5,5.5,NULL,0,0,NULL
61,"Akureyri, Northeast",Good,2,1,NULL,28.6,NULL,NULL
