,City,Level,PM2.5,PM10,O3,NO2,SO2,CO
0,"Mizuochicho, Fukui",Unhealthy,65,NULL,NULL,45.1,NULL,NULL
1,"Toyocho, Aichi",Unhealthy For Sensitive Groups,54,57,NULL,63.9,13.1,NULL
2,"Kumiyama, Kyoto",Moderate,34,NULL,NULL,43.2,2.6,NULL
3,"Nishidako, Ehime",Unhealthy For Sensitive Groups,49,54,NULL,NULL,5.2,NULL
4,"Minatojima, Hyogo",Moderate,32,NULL,NULL,67.7,NULL,NULL
5,"Hokujo, Nagano",Unhealthy For Sensitive Groups,45,NULL,NULL,1.9,2.6,NULL
6,"Kitami, Hokkaido",Unhealthy For Sensitive Groups,45,38,NULL,NULL,NULL,NULL
7,"Yokkaichi, Mie",Unhealthy For Sensitive Groups,44,44,NULL,37.6,2.6,NULL
8,"Kusatsu, Shiga",Unhealthy For Sensitive Groups,43,NULL,NULL,NULL,NULL,NULL
9,"Nakamura, Ehime",Moderate,28,NULL,NULL,NULL,NULL,NULL
10,"Kashgar, Xinjiang",Hazardous,99,495,42,54,8,1600
11,"Xinzhou, Shanxi",Hazardous,94,427,49,19,12,600
12,"Shuozhou, Shanxi",Very Unhealthy,81,405,40,29.5,16,600
13,"Hohhot, Inner Mongolia",Very Unhealthy,107,399,60,12,7,557.5
14,"Xingbin Qu, Guangxi",Very Unhealthy,209.5,265,44,84,25,1450
15,"Yuncheng, Shanxi",Very Unhealthy,91.5,396,23,49,26.5,1150
16,"Huayin, Shaanxi",Very Unhealthy,75.5,369.5,NULL,NULL,28,NULL
17,"Fuyang, Anhui",Very Unhealthy,145.5,369,30,59,16,1400
18,"Huaibei, Anhui",Very Unhealthy,100,367,40,44,17,1000
19,"Liuzhou, Guangxi",Very Unhealthy,165.5,221,28,72,52,1700
20,"Golden, British Columbia",Unhealthy For Sensitive Groups,54.2,18,NULL,NULL,NULL,NULL
21,"Otterburn Park, Quebec",Unhealthy For Sensitive Groups,52.7,NULL,NULL,NULL,NULL,NULL
22,"Saint-Eustache, Quebec",Unhealthy For Sensitive Groups,51.3,NULL,NULL,NULL,NULL,NULL
23,"Saint-Hubert, Quebec",Unhealthy For Sensitive Groups,50.5,NULL,NULL,NULL,NULL,NULL
24,"Montreal, Quebec",Unhealthy For Sensitive Groups,49.5,NULL,13,3,1,1000
25,"Nepean, Ontario",Unhealthy For Sensitive Groups,48.2,NULL,NULL,NULL,NULL,NULL
26,"Gatineau, Quebec",Unhealthy For Sensitive Groups,46.1,NULL,NULL,NULL,NULL,NULL
27,"Hull (Ile), Quebec",Unhealthy For Sensitive Groups,45.5,NULL,22,30.1,NULL,NULL
28,"Dollard-Des Ormeaux, Quebec",Unhealthy For Sensitive Groups,44.8,NULL,NULL,NULL,NULL,NULL
29,"Ottawa, Ontario",Unhealthy For Sensitive Groups,44.5,NULL,18,25,0,NULL
30,"Ho, Tinh Bac Ninh",Hazardous,255.3,330.7,NULL,97.3,33.9,3.1
31,"Nhu Quynh, Tinh Hung Yen",Very Unhealthy,241.4,367.3,2.2,64.2,21.9,3.1
32,"Dong Anh, Hanoi",Very Unhealthy,209.6,262,NULL,70.2,23.1,1.2
33,"Cho, Tinh Bac Ninh",Very Unhealthy,187.8,234.2,5.7,47.3,5.7,419.1
34,"Pho Moi, Tinh Bac Ninh",Very Unhealthy,183,263.8,6,88.1,113.5,8.7
35,"Van Dien, Hanoi",Very Unhealthy,182.3,222.3,NULL,12.7,NULL,1486.2
36,"Hanoi, Hanoi",Very Unhealthy,177.1,271.9,1.8,83.1,4.5,3653.2
37,"Bac Ninh, Tinh Bac Ninh",Very Unhealthy,171.8,224.7,NULL,NULL,84.5,NULL
38,"Thua, Tinh Bac Ninh",Unhealthy,138.8,190.2,NULL,39.3,20.2,2.3
39,"Phuc Yen, Tinh Vinh Phuc",Unhealthy,137.2,224.6,NULL,NULL,NULL,NULL
40,"Belfast, Northern Ireland",Moderate,30.2,NULL,1,23,5,100
41,"Scunthorpe, England",Moderate,29.1,9,NULL,NULL,NULL,NULL
42,"Hackney, England",Moderate,29,20.3,NULL,15.5,NULL,NULL
43,"Redcar, England",Moderate,29,23.3,1.5,NULL,NULL,NULL
44,"Stockton, England",Moderate,28,NULL,NULL,NULL,NULL,NULL
45,"Glasgow, Scotland",Moderate,27.3,19.1,4.1,59.5,NULL,NULL
46,"Middlesbrough, England",Moderate,27.1,30.9,3.8,31.9,5.7,NULL
47,"Nantwich, England",Moderate,27.1,NULL,NULL,NULL,NULL,NULL
48,"Cambridge, England",Moderate,26.2,15,NULL,13.6,NULL,NULL
49,"Stockton-on-Tees, England",Moderate,24,23.2,NULL,36.5,NULL,NULL
50,"Sallanches, Auvergne-Rhône-Alpes",Moderate,32,40.8,NULL,NULL,NULL,NULL
51,"Mantes-La-Jolie, Ile-de-France",Moderate,26.9,NULL,50.8,18.6,NULL,NULL
52,"Paris, Ile-de-France",Moderate,24.9,10.6,34.9,14.9,0,NULL
53,"Passy, Auvergne-Rhone-Alpes",Moderate,24.8,37.5,0,34.8,NULL,NULL
54,"Biot, Provence-Alpes-Cote d'Azur",Moderate,20.2,NULL,NULL,NULL,NULL,NULL
55,"Belleville-sur-Meuse, Grand Est",Good,7.6,NULL,NULL,NULL,NULL,NULL
56,"Chatou, Ile-de-France",Moderate,17.9,NULL,NULL,NULL,NULL,NULL
57,"Portes-les-Valence, Auvergne-Rhone-Alpes",Moderate,16,22.3,25.2,22.8,NULL,NULL
58,"Saint-Pierre, Reunion",Moderate,16,20.2,1.8,11.9,0,0
59,"Rouen, Normandy",Good,12,19,32.5,16,1,NULL
60,"Edertal, Hessen",Unhealthy,56,85.1,NULL,5.3,1,NULL
61,"Meppen, Lower Saxony",Moderate,32.4,NULL,NULL,NULL,NULL,NULL
62,"Northeim, Lower Saxony",Moderate,31.7,NULL,NULL,NULL,NULL,NULL
63,"Dresden, Saxony",Moderate,26.2,13,20,12,0,NULL
64,"Meiderich, Nordrhein-Westfalen",Moderate,26.5,NULL,NULL,NULL,NULL,NULL
65,"Titz, Nordrhein-Westfalen",Moderate,25,33,NULL,NULL,NULL,NULL
66,"Pfalzgrafenweiler, Baden-Wuerttemberg",Moderate,24.8,NULL,NULL,NULL,NULL,NULL
67,"Schongau, Bavaria",Moderate,23.6,NULL,NULL,NULL,NULL,NULL
68,"Hamburg, Hamburg",Moderate,22.9,NULL,33,16,3,290
69,"Niederzier, Nordrhein-Westfalen",Moderate,23,32,NULL,NULL,NULL,NULL
70,"Phra Samut Chedi, Samut Prakan",Very Unhealthy,226,194,40,129.7,15.7,1019.1
71,"Bang Bon, Bangkok",Very Unhealthy,162,198,4,NULL,NULL,NULL
72,"Sam Phran, Nakhon Pathom",Very Unhealthy,160.4,NULL,NULL,NULL,NULL,NULL
73,"Samut Sakhon, Samut Sakhon",Very Unhealthy,157,195,4,53.6,43.2,1591.6
74,"Bang Lamung, Chon Buri",Unhealthy,139,NULL,NULL,NULL,NULL,NULL
75,"Khlong Toei, Bangkok",Unhealthy,136.1,NULL,NULL,NULL,NULL,NULL
76,"Thawi Watthana, Bangkok",Unhealthy,132,NULL,NULL,NULL,NULL,NULL
77,"Samut Prakan, Samut Prakan",Unhealthy,130.1,151,116,80.8,26.2,1671.7
78,"Nakhon Pathom, Nakhon Pathom",Unhealthy,127.5,NULL,NULL,NULL,NULL,NULL
79,"Saraburi, Sara Buri",Unhealthy,127.5,207,32,114.7,NULL,NULL
80,"Mendrisio, Ticino",Moderate,14,16,30,24,NULL,NULL
81,"Unteriberg, Schwyz",Moderate,25,NULL,NULL,NULL,NULL,NULL
82,"Bioggio, Ticino",Moderate,21,25,9,31,NULL,NULL
83,"Chiasso, Ticino",Good,8,10,0,18,NULL,NULL
84,"Bodio, Ticino",Moderate,22,24,NULL,15,4,NULL
85,"Rotkreuz, Zug",Moderate,19.3,NULL,NULL,NULL,NULL,NULL
86,"Dietikon, Zurich",Moderate,16.2,NULL,NULL,NULL,NULL,NULL
