,City,Level,PM2.5,PM10,O3,NO2,SO2,CO
0,"Ube, Yamaguchi",Moderate,30.0,8.0,,9.4,7.9,
1,"Hiraidemachi, Tochigi",Moderate,23.0,8.0,,39.5,,
2,"Minato, Wakayama",Moderate,20.0,24.0,,,23.6,
3,"Mizusawaku Higashiodori, Iwate",Moderate,19.0,4.0,,26.3,2.6,
4,"Futago, Kanagawa",Moderate,15.0,11.0,,73.3,,
5,"Tamana, Kumamoto",Moderate,18.0,8.0,,7.5,,
6,"Hanazakicho, Chiba",Moderate,17.0,,,,,
7,"Yumeimachi, Fukuoka",Moderate,16.0,7.0,,9.4,2.6,229.0
8,"Higashikoshigaya, Saitama",Moderate,15.0,15.0,,45.1,2.6,
9,"Honmokucho, Kanagawa",Good,7.0,7.0,,41.4,5.2,
10,"Shihezi, Xinjiang",Very Unhealthy,235.0,264.0,6.0,85.5,12.5,2300.0
11,"Ili, Xinjiang",Very Unhealthy,177.0,182.0,39.0,52.0,36.0,2600.0
12,"Changji, Xinjiang",Very Unhealthy,152.0,183.0,,84.0,5.0,
13,"Turpan, Xinjiang",Unhealthy,145.5,192.5,28.5,62.0,29.0,2100.0
14,"Fushun, Liaoning",Unhealthy,103.0,142.0,10.0,42.0,20.0,1500.0
15,"Jinzhou, Liaoning",Unhealthy,94.0,85.0,20.0,54.0,65.0,2100.0
16,"Yuxia, Shaanxi",Unhealthy,84.0,82.0,17.0,37.0,12.0,1241.5
17,"Linxia Chengguanzhen, Gansu",Unhealthy,83.0,99.0,,13.0,,
18,"Urumqi, Xinjiang",Unhealthy,83.0,94.0,14.0,100.0,6.0,2200.0
19,"Karamay, Xinjiang",Unhealthy,81.0,86.0,40.5,29.0,3.5,1100.0
20,"Regina, Saskatchewan",Unhealthy For Sensitive Groups,42.1,,8.0,58.3,,
21,"Winnipeg, Manitoba",Moderate,35.3,,5.4,13.5,,
22,"Brandon, Manitoba",Moderate,34.9,,,17.7,,
23,"St. Albert, Alberta",Moderate,35.2,,2.0,82.7,2.6,
24,"Houston, British Columbia",Moderate,32.9,3.8,,,,
25,"Edmonton, Alberta",Moderate,32.4,,2.0,77.1,2.6,
26,"Rideau Park, Alberta",Moderate,30.0,,2.0,67.7,2.6,
27,"Dawson City, Yukon",Moderate,30.0,,,,,
28,"Prince Albert, Saskatchewan",Moderate,28.9,,36.0,,,
29,"Stettler, Alberta",Moderate,27.7,,,,,
30,"Ha Tinh, Tinh Ha Tinh",Unhealthy For Sensitive Groups,46.9,,,,,
31,"Pho Moi, Tinh Bac Ninh",Moderate,33.6,55.6,15.4,28.9,101.9,0.0
32,"Hanoi, Hanoi",Moderate,33.2,53.2,0.6,26.0,2.1,993.6
33,"Cau Dien, Hanoi",Moderate,29.7,54.5,0.0,39.1,1.6,299.9
34,"Ho Chi Minh City, Ho Chi Minh City",Moderate,28.7,,,,,
35,"Long Xuyen, An Giang",Moderate,27.8,,,,,
36,"Phuc Yen, Tinh Vinh Phuc",Moderate,25.7,51.3,,,,
37,"Nhu Quynh, Tinh Hung Yen",Moderate,23.8,51.3,0.0,15.4,7.0,0.9
38,"Thanh Pho Thai Nguyen, Tinh Thai Nguyen",Moderate,24.2,32.0,,,1.1,0.9
39,"Hoan Kiem, Hanoi",Moderate,22.5,22.7,33.1,21.1,14.7,0.0
40,"Tadley, England",Unhealthy For Sensitive Groups,51.7,,,,,
41,"Highland, Scotland",Unhealthy For Sensitive Groups,43.6,,,,,
42,"Cowley, England",Unhealthy For Sensitive Groups,42.9,,,,,
