,City,Level,PM2.5,PM10,O3,NO2,SO2,CO
0,"Dhaka, Dhaka",Very Unhealthy,182.1,NULL,NULL,NULL,NULL,NULL
1,"Manikganj, Dhaka",Very Unhealthy,171,NULL,NULL,NULL,NULL,NULL
2,"Savar, Dhaka",Unhealthy,119.1,NULL,NULL,NULL,NULL,NULL
3,"Sreepur, Dhaka",Unhealthy,81.6,NULL,NULL,NULL,NULL,NULL
4,"Narayanganj, Dhaka",Good,8,NULL,NULL,NULL,NULL,NULL
5,"Rawalpindi, Punjab",Hazardous,276.3,NULL,NULL,NULL,NULL,NULL
6,"Faisalabad, Punjab",Very Unhealthy,214.2,NULL,NULL,NULL,NULL,NULL
7,"Islamabad, Islamabad",Unhealthy,132.8,NULL,NULL,NULL,NULL,NULL
8,"Bahawalpur, Punjab",Very Unhealthy,154.6,NULL,NULL,NULL,NULL,NULL
9,"Lahore, Punjab",Unhealthy,100.1,NULL,NULL,NULL,NULL,NULL
10,"Sahiwal, Punjab",Unhealthy,126.5,NULL,NULL,NULL,NULL,NULL
11,"Muridke, Punjab",Unhealthy,67.1,NULL,NULL,NULL,NULL,NULL
12,"Abbottabad, Khyber Pakhtunkhwa",Unhealthy For Sensitive Groups,48.2,NULL,NULL,NULL,NULL,NULL
13,"Multan, Punjab",Unhealthy,62.6,NULL,NULL,NULL,NULL,NULL
14,"Peshawar, Khyber Pakhtunkhwa",Unhealthy For Sensitive Groups,55,NULL,NULL,NULL,NULL,NULL
15,"Tsetserleg, Arhangay",Unhealthy For Sensitive Groups,48.9,NULL,NULL,NULL,NULL,NULL
16,"Darhan, Darhan Uul",Unhealthy,60.1,NULL,NULL,NULL,NULL,NULL
17,"Ulaanbaatar, Ulaanbaatar",Unhealthy,64.3,307,13,26,57,9
18,"Urt, OEmnoegovi",Moderate,28,38,NULL,11,7,NULL
19,"Ulaan-Uul, East Gobi Aymag",Moderate,13,18,NULL,10,NULL,NULL
20,"Sumber, East Aimak",Good,12,5,NULL,4,6.5,NULL
21,"Chonogol, Suhbaatar",Good,4,6,NULL,5,NULL,8
22,"Hongor, Suhbaatar",Good,1,19,NULL,6,10,NULL
23,"Ulan Bator, Ulaanbaatar",NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,"Kabul, Kabul",Hazardous,287,NULL,NULL,NULL,NULL,NULL
25,"Pitampura, Delhi",Hazardous,328,504,8.5,55,16.4,2920
26,"Loni, Uttar Pradesh",Hazardous,310,446.6,28,42.5,20,NULL
27,"Guwahati, Assam",Hazardous,252,NULL,NULL,NULL,NULL,NULL
28,"Dadri, Uttar Pradesh",Very Unhealthy,238.3,389.3,1,136,4,NULL
29,"Greater Noida, Uttar Pradesh",Very Unhealthy,227.9,348,3,NULL,11.2,NULL
30,"Baraut, Uttar Pradesh",Very Unhealthy,217,364.3,38,NULL,NULL,NULL
31,"Delhi, Delhi",Unhealthy,88,140.9,6.8,50.2,43,2400
32,"Noida, Uttar Pradesh",Very Unhealthy,207,350.4,8,61.3,9.2,2900
33,"Patna, Bihar",Very Unhealthy,196.6,NULL,54.1,108,21.6,2900
34,"Uran, Maharashtra",Very Unhealthy,187.5,280,12,NULL,8.8,NULL
35,"Medan, North Sumatra",Unhealthy For Sensitive Groups,55.4,NULL,NULL,NULL,NULL,NULL
36,"Jakarta, Jakarta",Unhealthy,68.4,NULL,NULL,NULL,NULL,NULL
37,"Bandung, West Java",Unhealthy For Sensitive Groups,40.1,NULL,NULL,NULL,NULL,NULL
38,"Semarang, Central Java",Unhealthy For Sensitive Groups,38.8,NULL,NULL,NULL,NULL,NULL
39,"Palembang, South Sumatra",Moderate,25.7,NULL,NULL,NULL,NULL,NULL
40,"Jimbaran, Bali",Moderate,18.1,NULL,NULL,NULL,NULL,NULL
41,"Bogor, West Java",Moderate,17.8,11,NULL,NULL,NULL,NULL
42,"Yogyakarta, Yogyakarta",Moderate,20,NULL,NULL,NULL,NULL,NULL
43,"Dumai, Riau",Moderate,14.4,NULL,NULL,NULL,NULL,NULL
44,"Denpasar, Bali",Moderate,12.8,NULL,NULL,NULL,NULL,NULL
45,"Manama, Capital Governorate",Moderate,0,NULL,NULL,NULL,NULL,NULL
46,"Kathmandu, Central Region",Very Unhealthy,180,193.5,0,NULL,NULL,NULL
47,"Siddharthanagar, Western Region",Very Unhealthy,161.1,NULL,NULL,NULL,NULL,NULL
48,"Bharatpur, Central Region",Unhealthy,122.1,43.9,NULL,NULL,NULL,NULL
49,"Nepalgunj, Mid Western",Unhealthy,106.7,67.2,NULL,NULL,NULL,NULL
50,"Dhankuta, Eastern Region",Unhealthy,87.4,89.5,NULL,NULL,NULL,NULL
51,"Patan, Central Region",Unhealthy,84.6,108.1,NULL,NULL,NULL,NULL
52,"Pokhara, Western Region",Unhealthy For Sensitive Groups,53.3,NULL,NULL,NULL,NULL,NULL
53,"Kirtipur, Central Region",Unhealthy For Sensitive Groups,52,123.2,NULL,NULL,NULL,NULL
54,"Tulsipur, Mid Western",Unhealthy For Sensitive Groups,41.7,59.1,NULL,NULL,NULL,NULL
55,"Bhaktapur, Central Region",Unhealthy For Sensitive Groups,39.2,56.1,NULL,NULL,NULL,NULL
56,"Tashkent, Toshkent Shahri",Unhealthy,66,NULL,4,NULL,NULL,NULL
57,"Baghdad, Baghdad",Unhealthy For Sensitive Groups,53.4,NULL,NULL,NULL,NULL,NULL
58,"Nassau, New Providence",Good,4.4,NULL,NULL,NULL,NULL,NULL
59,"Governor's Harbour, Central Eleuthera",Good,3.7,NULL,NULL,NULL,NULL,NULL
60,"Charlotte Amalie, Saint Thomas Island",Good,0.6,NULL,NULL,NULL,NULL,NULL
61,"Cruz Bay, Saint John Island",Good,0,NULL,NULL,NULL,NULL,NULL
62,"Isafjoerdur, Westfjords",Good,0,NULL,NULL,NULL,NULL,NULL
63,"Lohja, Uusimaa",Good,9.8,NULL,NULL,NULL,NULL,NULL
64,"Nurmijaervi, Uusimaa",Good,9.2,NULL,NULL,NULL,NULL,NULL
65,"Imatra, South Karelia",Good,9,6.7,NULL,2.5,1,NULL
66,"Siuntio, Uusimaa",Good,7.9,NULL,NULL,NULL,NULL,NULL
67,"Raisio, Finland Proper",Good,7.3,7.8,NULL,11.4,0,NULL
68,"Tampere, Pirkanmaa",Good,6.7,7.2,NULL,18.7,NULL,NULL
69,"Joensuu, North Karelia",Good,6.8,9.7,NULL,25.6,NULL,NULL
70,"Lansi-Turunmaa, Finland Proper",Good,6.1,11.1,NULL,4.9,1.1,NULL
71,"Pertteli, Finland Proper",Good,6.7,NULL,NULL,NULL,NULL,NULL
72,"Vantaa, Uusimaa",Good,6.3,5.4,NULL,4.1,NULL,NULL
73,"Tallinn, Harjumaa",Good,9,12.3,13.7,30.1,2.7,340
74,"Tartu, Tartumaa",Good,8.5,12.9,NULL,24.2,0,350
75,"Sinimaee, Ida-Virumaa",Good,4,6,NULL,NULL,0,NULL
76,"Voore, Jogevamaa",Good,4,NULL,NULL,2.2,0.7,NULL
77,"Sillamaee, Ida-Virumaa",Good,3.6,4,NULL,NULL,NULL,NULL
78,"Kohtla-Jaerve, Ida-Virumaa",Good,3.5,4.3,NULL,5,0.8,NULL
79,"Narva, Ida-Virumaa",Good,2.8,6.1,NULL,16,0.3,NULL
80,"Parnu Jogi, Paernumaa",NULL,NULL,NULL,NULL,NULL,NULL,NULL
81,"Enkoeping, Uppsala län",Moderate,12.3,NULL,NULL,NULL,NULL,NULL
82,"Linköping, Östergötlands län",Good,10.5,NULL,NULL,NULL,NULL,NULL
83,"Solna, Stockholm",Good,9.3,NULL,NULL,NULL,NULL,NULL
84,"Kungsbacka, Hallands län",Good,8.7,NULL,NULL,NULL,NULL,NULL
85,"Lilla Essingen, Stockholm",Good,8.3,NULL,NULL,NULL,NULL,NULL
86,"Malmö, Skåne län",Good,8,3.5,9.6,24.8,NULL,NULL
87,"Norrköping, Östergötlands län",Good,7,8.5,NULL,NULL,NULL,NULL
88,"Bredkalen, Jaemtland",Good,6.3,6.4,NULL,NULL,NULL,NULL
89,"Uppsala, Uppsala län",Good,6,8.8,NULL,14,NULL,NULL
90,"Saro, Hallands län",Good,5.3,NULL,NULL,NULL,NULL,NULL
91,"Stavanger, Rogaland",Unhealthy For Sensitive Groups,42.4,52,NULL,86,NULL,NULL
92,"Alesund, More og Romsdal",Moderate,17,23.4,NULL,3.9,NULL,NULL
93,"Trondheim, Sor-Trondelag",Unhealthy For Sensitive Groups,36.2,43.6,NULL,83.1,NULL,NULL
94,"Oslo, Oslo",Good,10.6,24.7,NULL,51.6,NULL,0
95,"Lillestrom, Akershus",Good,9.9,6.6,NULL,22.9,NULL,NULL
96,"Mo i Rana, Nordland",Moderate,20.6,31.6,NULL,NULL,NULL,NULL
97,"Narvik, Nordland",Moderate,31.4,52.7,NULL,NULL,NULL,NULL
98,"Ski, Akershus",Good,10.1,NULL,NULL,NULL,NULL,NULL
99,"Sandsli, Hordaland",Moderate,17.5,20.7,NULL,44.2,NULL,NULL
100,"Bodo, Nordland",Good,6.7,42.4,NULL,NULL,NULL,NULL
101,"Rangiora, Canterbury",Good,10.2,20.7,NULL,NULL,NULL,NULL
102,"Kaiapoi, Canterbury",Moderate,13.2,23.9,NULL,NULL,NULL,NULL
103,"Ruakaka, Northland",Good,NULL,7.5,NULL,NULL,NULL,NULL
