,City,AQI,PM2.5,PM10,O3,NO2,SO2,CO
0,"Tsubaki, Chiba",1,43,NULL,NULL,3.8,NULL,NULL
1,"Kohokudai, Chiba",76,24,NULL,NULL,13.2,NULL,NULL
2,"Shimoiino, Chiba",99,35,NULL,NULL,3.8,2.6,NULL
3,"Kukichuo, Saitama",93,32,15,NULL,52.6,NULL,NULL
4,"Nagayama 1 Jo, Hokkaido",84,28,29,NULL,73.3,NULL,NULL
5,"Nakamuraminami, Ibaraki",84,28,21,NULL,56.4,NULL,NULL
6,"Yachimata, Chiba",84,28,NULL,NULL,3.8,NULL,NULL
7,"Fujimi, Yamanashi",82,27,38,NULL,39.5,2.6,NULL
8,"Ishikawa, Ibaraki",82,27,11,NULL,22.6,2.6,NULL
9,"Kofu, Yamanashi",82,27,14.5,NULL,39.5,NULL,572.5
10,"Ili, Xinjiang",378,328,341,11,85.5,46,7900
11,"Wujiaqu, Xinjiang",213,163,220,6,1,5.5,NULL
12,"Shihezi, Xinjiang",195,141.5,149,11,73,6,2400
13,"Yunfu, Guangdong",182,116,112,47.5,24.5,10,1050
14,"Zhaoqing, Guangdong",182,115,131.5,40,27,8.5,1100
15,"Aksu, Xinjiang",180,68,313.5,10.5,45.5,10,2050
16,"Yulin, Guangxi",178,108,120,51,24.5,5,1150
17,"Beihai, Guangxi",176,103,91.5,42,19,8,1000
18,"Changzhou Qu, Guangxi",176,103,92,25,29,5,1400
19,"Zhanjiang, Guangdong",176,103.5,117,50,30,23,1050
20,"Otterburn Park, Quebec",97,33.9,NULL,NULL,NULL,NULL,NULL
21,"Dawson City, Yukon",98,34.4,NULL,NULL,NULL,NULL,NULL
22,"Revelstoke, British Columbia",81,26.3,NULL,NULL,NULL,NULL,NULL
23,"North Cowichan, British Columbia",80,26.2,NULL,NULL,NULL,NULL,NULL
24,"Golden, British Columbia",94,32.6,14.6,NULL,NULL,NULL,NULL
25,"Saint-Bruno-de-Montarville, Quebec",62,17.6,NULL,NULL,NULL,NULL,NULL
26,"Whitehorse, Yukon",78,25.2,NULL,NULL,NULL,NULL,NULL
27,"Winnipeg, Manitoba",68,20.2,NULL,4.8,6.5,NULL,NULL
28,"Campbell River, British Columbia",73,22.4,NULL,NULL,NULL,NULL,NULL
29,"Norman Wells, Northwest Territories",69,11.3,91.4,NULL,2.4,14.4,NULL
