,City,Level,PM2.5,PM10,O3,NO2,SO2,CO
0,Dhaka,Very Unhealthy,227.5,NULL,NULL,NULL,NULL,NULL
1,Delhi,Very Unhealthy,137.7,201.2,9.8,35,12.6,1181.7
2,Bishkek,Very Unhealthy,157.4,2.2,NULL,NULL,NULL,NULL
3,Kathmandu,Unhealthy,112.2,198.5,14.8,NULL,NULL,NULL
4,Lahore,Unhealthy,104.5,NULL,NULL,NULL,NULL,NULL
5,Kolkata,Unhealthy,78.3,131.7,36.1,36.3,11,510
6,Mumbai,Unhealthy,115.7,230.4,13.6,37.5,19.4,1281.3
7,Kabul,Unhealthy,83.6,NULL,NULL,NULL,NULL,NULL
8,Chengdu,Unhealthy,77.4,104.7,5.8,51.1,6.5,880
9,Riyadh,Unhealthy,90.4,NULL,NULL,NULL,NULL,NULL
10,Karachi,Unhealthy,56.9,NULL,NULL,NULL,NULL,NULL
11,Nur-Sultan,Unhealthy,51.6,86.3,NULL,27.1,36.7,1066.6
12,Tehran,Unhealthy,67.7,86.6,14.4,260.3,31.6,2833.9
13,Chongqing,Unhealthy,60.4,87.7,6,41.3,8.8,900
14,Warsaw,Unhealthy,62.3,60.8,3.9,30.3,NULL,0.8
15,Ulaanbaatar,Unhealthy For Sensitive Groups,51.8,59.4,15,10.7,28.8,5.8
16,Yangon,Unhealthy For Sensitive Groups,59.3,NULL,2,NULL,NULL,NULL
17,Belgrade,Unhealthy For Sensitive Groups,41.1,35.7,15.5,15,7.1,572
18,Milano,Unhealthy For Sensitive Groups,54.1,NULL,3.7,70.6,3.8,1.5
19,Wuhan,Unhealthy For Sensitive Groups,42.2,76.9,29.2,53.1,11.6,630
20,Sarajevo,Unhealthy For Sensitive Groups,58.6,77.1,12.3,33.9,44,NULL
21,Kyiv,Unhealthy For Sensitive Groups,37.6,NULL,NULL,NULL,NULL,NULL
22,Krasnoyarsk,Unhealthy For Sensitive Groups,20.2,NULL,NULL,208.3,39.2,335.7
23,Kuwait City,Unhealthy For Sensitive Groups,42.8,NULL,NULL,NULL,NULL,NULL
24,Hanoi,Moderate,28.1,39.7,0,13.7,0.7,634
25,Ho Chi Minh City,Unhealthy For Sensitive Groups,38.9,NULL,NULL,NULL,NULL,NULL
