City,AQI,PM2.5,PM10,O3,NO2,SO2,CO
Bishkek,353,356.8,2.2,,,,
Kolkata,218,163.9,286.3,17.7,66.1,26.2,1384.0
Kabul,196,283.0,,,,,
Dhaka,196,178.8,,,,,
Kathmandu,193,116.3,217.7,17.5,,,
Mumbai,190,118.0,233.7,16.3,54.7,14.4,1672.0
Nur-Sultan,184,77.0,121.8,,5.5,15.5,484.8
Karachi,183,127.6,,,,,
Lahore,177,83.0,,,,,
Delhi,175,103.8,140.3,17.3,24.0,9.1,906.7
Shenzhen,161,79.6,115.4,39.9,27.3,9.0,950.0
Krakow,159,71.9,71.8,,18.1,5.3,
Hanoi,157,105.7,153.1,0.0,24.4,0.8,757.3
Tehran,155,64.6,75.1,13.9,271.9,45.4,3555.2
Hong Kong,153,60.1,84.0,41.4,48.3,6.6,241.9
Yangon,143,57.6,,3.0,,,
Chongqing,141,51.6,67.5,29.2,35.7,6.1,666.7
Riyadh,139,35.7,,,,,
Tashkent,112,40.2,,4.0,,,
Chengdu,111,36.5,44.5,38.7,28.1,4.7,544.4
Guangzhou,110,58.1,79.3,36.8,26.1,8.3,916.7
Warsaw,102,26.4,25.9,4.5,12.7,,0.8
Zagreb,100,30.0,41.5,23.2,17.3,3.1,565.0
Milano,99,35.3,,28.3,25.1,2.6,0.8
Moscow,99,15.4,14.8,21.0,39.6,1.6,203.3
Tel Aviv-Yafo,98,30.9,64.5,9.0,57.4,2.8,419.8
Jerusalem,96,34.8,103.3,2.0,17.0,,
Chiang Mai,91,34.4,54.4,48.0,11.1,4.2,
London,90,17.0,14.5,19.6,22.6,0.7,900.0
Kyiv,85,26.1,,,,,
Paris,83,23.8,23.9,15.5,21.8,0.0,0.0
Kuwait City,78,31.1,,,,,
Johannesburg,78,16.7,23.7,7.0,22.6,5.2,
Ulaanbaatar,77,47.4,122.8,10.9,12.3,61.0,8.7
Sarajevo,76,25.3,22.0,38.2,13.7,21.0,
Shanghai,70,14.2,93.8,42.8,25.3,6.9,466.7
Dubai,75,23.2,,,,,
Bogota,75,20.9,33.7,8.8,,,
Ho Chi Minh City,75,31.4,,,,,
Wuhan,72,19.2,96.8,47.1,20.8,6.7,450.0
Kaohsiung,70,21.0,30.5,21.0,35.1,5.4,584.9
Bangkok,70,23.3,57.4,21.0,4.4,,853.0
Bern,68,20.0,36.8,5.3,,,
Mexico City,68,14.7,31.3,37.6,18.7,4.4,585.1
Wroclaw,67,16.7,3.8,26.2,10.2,0.0,0.0
Los Angeles,66,12.2,41.0,2.0,31.8,0.0,
Lyon,64,24.6,27.0,14.3,20.9,,
San Francisco,62,12.5,,12.4,33.6,,
Kyoto,14,8.9,11.4,,31.0,,549.6
Hangzhou,57,18.3,62.0,34.8,27.5,7.1,531.3
Detroit,55,15.8,,,22.9,1.3,687.0
Brussels,54,12.8,15.1,2.6,35.2,1.0,0.0
Sao Paulo,53,9.4,16.8,23.5,25.4,1.3,248.1
Phnom Penh,52,11.5,,,,,
Sofia,52,18.0,22.8,28.8,17.8,5.1,0.0
Portland,52,8.4,,2.8,4.1,0.8,
Krasnoyarsk,51,14.7,,,124.2,68.6,126.7
Seattle,48,6.4,,,,,
Beijing,48,11.7,35.9,38.4,19.5,2.8,508.3
Tokyo,45,10.4,11.4,,46.3,2.9,408.9
Budapest,38,12.0,14.4,14.1,23.7,4.6,615.9
Munich,43,10.4,10.9,17.9,19.6,,0.0
Shenyang,41,11.7,34.0,48.1,11.8,12.3,422.2
Kobe,41,10.4,11.8,,40.2,,
Lima,38,10.6,14.2,,,,
Vienna,39,9.3,10.4,14.4,17.4,1.0,312.5
Seoul,37,11.5,30.9,45.1,21.2,7.9,450.8
Santiago,36,9.4,42.5,27.0,24.0,2.6,309.2
Denver,35,5.6,16.4,46.0,59.4,0.7,318.7
Salt Lake City,34,7.7,,28.0,64.5,0.0,57.3
Osaka,33,11.7,11.2,,24.8,,
Taipei,33,8.3,8.2,47.8,36.1,5.2,606.9
Prague,33,7.7,11.4,20.6,20.3,,0.0
Incheon,33,9.0,26.4,49.6,15.7,8.0,458.0
Belgrade,30,8.1,7.8,55.3,12.6,14.8,458.6
Bratislava,33,8.4,9.9,9.8,17.7,4.0,
Busan,27,9.6,27.2,,13.0,7.9,343.5
Nagoya,27,8.2,9.3,,31.2,,
Singapore,25,6.0,15.7,5.2,17.1,3.0,0.0
Berlin,25,7.1,9.5,16.2,10.6,,0.0
Melbourne,25,4.6,19.9,17.8,3.6,2.8,0.0
Kuala Lumpur,40,10.2,,,,,
Kuching,22,5.7,,,,,
Jakarta,22,9.7,28.5,,,,
Toronto,8,2.0,,44.0,4.7,0.5,
Madrid,18,3.3,4.6,48.8,10.3,2.8,0.0
Rotterdam,16,2.2,2.7,,22.2,,
Vancouver BC,15,2.6,3.7,39.0,11.7,0.9,212.9
Helsinki,17,5.4,5.2,34.6,10.7,1.9,
Amsterdam,14,4.4,5.8,22.2,18.3,0.0,327.5
New York City,11,5.3,,54.0,,1.1,238.0
Pristina,10,3.1,,,,,
Oslo,7,2.0,2.4,,5.2,,0.0
Skopje,4,47.7,60.6,6.6,20.2,1.1,
Sydney,2,0.0,4.3,26.2,2.0,0.0,0.0
Canberra,4,1.3,4.4,27.2,1.9,,42.3
"Tsubaki, Chiba",1,43.0,,,3.8,,
"Kohokudai, Chiba",76,24.0,,,13.2,,
"Shimoiino, Chiba",99,35.0,,,3.8,2.6,
"Kukichuo, Saitama",93,32.0,15.0,,52.6,,
"Nagayama 1 Jo, Hokkaido",84,28.0,29.0,,73.3,,
"Nakamuraminami, Ibaraki",84,28.0,21.0,,56.4,,
"Yachimata, Chiba",84,28.0,,,3.8,,
"Fujimi, Yamanashi",82,27.0,38.0,,39.5,2.6,
"Ishikawa, Ibaraki",82,27.0,11.0,,22.6,2.6,
"Kofu, Yamanashi",82,27.0,14.5,,39.5,,572.5
"Ili, Xinjiang",378,328.0,341.0,11.0,85.5,46.0,7900.0
"Wujiaqu, Xinjiang",213,163.0,220.0,6.0,1.0,5.5,
"Shihezi, Xinjiang",195,141.5,149.0,11.0,73.0,6.0,2400.0
"Yunfu, Guangdong",182,116.0,112.0,47.5,24.5,10.0,1050.0
"Zhaoqing, Guangdong",182,115.0,131.5,40.0,27.0,8.5,1100.0
"Aksu, Xinjiang",180,68.0,313.5,10.5,45.5,10.0,2050.0
"Yulin, Guangxi",178,108.0,120.0,51.0,24.5,5.0,1150.0
"Beihai, Guangxi",176,103.0,91.5,42.0,19.0,8.0,1000.0
"Changzhou Qu, Guangxi",176,103.0,92.0,25.0,29.0,5.0,1400.0
"Zhanjiang, Guangdong",176,103.5,117.0,50.0,30.0,23.0,1050.0
"Otterburn Park, Quebec",97,33.9,,,,,
"Dawson City, Yukon",98,34.4,,,,,
"Revelstoke, British Columbia",81,26.3,,,,,
"North Cowichan, British Columbia",80,26.2,,,,,
"Golden, British Columbia",94,32.6,14.6,,,,
"Saint-Bruno-de-Montarville, Quebec",62,17.6,,,,,
"Whitehorse, Yukon",78,25.2,,,,,
"Winnipeg, Manitoba",68,20.2,,4.8,6.5,,
"Campbell River, British Columbia",73,22.4,,,,,
"Norman Wells, Northwest Territories",69,11.3,91.4,,2.4,14.4,
"Ha Tinh, Tinh Ha Tinh",184,119.6,,,,,
"Phuc Yen, Tinh Vinh Phuc",183,117.8,193.5,,,,
"Luong Son, Tinh Hoa Binh",180,111.3,189.5,,,,
"Thua, Tinh Bac Ninh",175,102.5,116.5,,19.6,1.5,0.0
"Hanoi, Hanoi",182,115.1,136.6,0.0,22.7,4.2,1190.7
